Actor,Number of shows
Yoshihiko Kumashino,1
Minori Hagiwara,1
Shohei Uno,3
Yuka Itaya,2
Kiyohiko Shibukawa,1
Eita Okuno,1
Haruka Imou,1
Toshinori Omi,1
Tatiana Maslany,2
Diego Luna,6
Nick Offerman,9
Nick Frost,4
Glenn Close,9
Alon Aboutboul,3
Hayley Atwell,4
Darin De Paul,1
Andy Garcia,6
Cheryl Hines,4
Tom Kenny,10
Chris Obi,1
Cole Sand,3
Frank Welker,9
Steven Yeun,11
Robert Agengo,1
Mwaura Bilal,1
Andreo Kamau,1
Cajetan Boy,1
Arabron Nyyeneque,1
Shiviske Shivisi,2
Xavier Ywaya,1
Jake Bickelhaupt,1
Sarah Natochenny,8
Suzy Myers,4
Simona Berman,1
Erica Schroeder,5
Marca Leigh,1
Scottie Ray,1
Henry F. Benjamin,1
Carlos Cuevas,5
Guiomar Puerta,1
Iván Marcos,1
Israel Elejalde,2
Eudald Font,1
Luis Larrodera,1
Carmen Gutiérrez,1
Diana Gómez,2
Vito Sanz,3
Marina San José,1
Pere Ponce,3
Joan Pera,2
Khiyla Aynne,2
Noah Dyer,1
Maya Franzoi,2
Clara Kushnir,1
Madeline Leon,2
Liam MacDonald,2
Matt Schichter,1
Ethan Yang,1
Adam Crew,1
Jean Reno,6
Hovik Keuchkerian,2
Susana Abaitua,1
Juan Dos Santos,1
Arturo Valls,1
Enrique San Francisco,1
Francesc Garrido,2
Eric Nguyen,2
Evan Todd,1
Parker Young,2
Chord Overstreet,1
Jon Gabrus,2
Kate Flannery,2
Brooke Dillman,2
Jennifer Damiano,1
Jordan Lane Price,1
Alex Rennie,1
Jake Epstein,2
Kate Henshaw-Nuttal,2
Enyinna Nwigwe,7
Linda Ejiofor,1
Yakubu Mohammed,2
Bimbo Manuel,10
Sani Mu’azu,1
Emil Hirai-Garuba,1
Rekiya Ibrahim Atta,1
Ario Bayu,5
Arifin Putra,2
Dwi Sasono,1
Muhadkly Acho,1
Cornelio Sunny,2
Tika Bravani,2
Nirina Zubir,2
Ganindra Bimo,3
Verdi Solaiman,3
Josh Pais,3
Claire van der Boom,1
Morgan Freeman,16
Diane Keaton,5
Carrie Preston,3
Cynthia Nixon,5
Korey Jackson,1
Diane Ciesla,1
Michael Cristofer,2
Massimo Ghini,1
